"year" "month" "Ftemp" "Ctemp"
"631" 1921 4 56.1 13.4
"632" 1921 5 61.2 16.2
"633" 1921 6 71.2 21.8
"634" 1921 7 77.3 25.2
"635" 1921 8 71.6 22
"636" 1921 9 72.1 22.3
"637" 1922 1 28.2 -2.1
"638" 1922 10 58.2 14.6
"639" 1922 11 45.7 7.6
"640" 1922 12 33.6 0.9
"641" 1922 2 33.6 0.9
"642" 1922 3 41 5
"643" 1922 4 51.5 10.8
"644" 1922 5 64.6 18.1
"645" 1922 6 71.8 22.1
"646" 1922 7 73.7 23.2
"647" 1922 8 72.4 22.4
"648" 1922 9 68.2 20.1
"649" 1923 1 30 -1.1
"650" 1923 10 56 13.3
"651" 1923 11 45.2 7.3
"652" 1923 12 42 5.6
"653" 1923 2 26.2 -3.2
"654" 1923 3 36.8 2.7
"655" 1923 4 50.3 10.2
"656" 1923 5 60 15.6
"657" 1923 6 73.4 23
"658" 1923 7 73.8 23.2
"659" 1923 8 72.6 22.6
"660" 1923 9 68.3 20.2
"661" 1924 1 32.7 0.4
"662" 1924 10 57.1 13.9
"663" 1924 11 44.4 6.9
"664" 1924 12 34 1.1
"665" 1924 2 28.9 -1.7
"666" 1924 3 39.2 4
"667" 1924 4 49.1 9.5
"668" 1924 5 57.3 14.1
"669" 1924 6 67.8 19.9
"670" 1924 7 74.1 23.4
"671" 1924 8 74.3 23.5
"672" 1924 9 64.1 17.8
"673" 1925 1 28.4 -2
"674" 1925 10 50.6 10.3
"675" 1925 11 43.9 6.6
"676" 1925 12 34.8 1.6
"677" 1925 2 37.9 3.3
"678" 1925 3 44.2 6.8
"679" 1925 4 51.8 11
"680" 1925 5 59.6 15.3
"681" 1925 6 74.3 23.5
"682" 1925 7 73.6 23.1
"683" 1925 8 73.3 22.9
"684" 1925 9 68.8 20.4
"685" 1926 1 32 0
"686" 1926 10 55.1 12.8
"687" 1926 11 44.9 7.2
"688" 1926 12 28.9 -1.7
"689" 1926 2 29.2 -1.6
"690" 1926 3 35.7 2.1
"691" 1926 4 47.3 8.5
"692" 1926 5 60.1 15.6
"693" 1926 6 66.8 19.3
"694" 1926 7 75.1 23.9
"695" 1926 8 74 23.3
"696" 1926 9 65.7 18.7
"697" 1927 1 30.9 -0.6
"698" 1927 10 59.6 15.3
"699" 1927 11 49.2 9.6
"700" 1927 12 36.7 2.6
"701" 1927 2 36.4 2.4
"702" 1927 3 43 6.1
"703" 1927 4 48.6 9.2
"704" 1927 5 59 15
"705" 1927 6 67.3 19.6
"706" 1927 7 74 23.3
"707" 1927 8 68.5 20.3
"708" 1927 9 67.9 19.9
"709" 1928 1 34 1.1
"710" 1928 10 58.9 14.9
"711" 1928 11 47.4 8.6
"712" 1928 12 39.3 4.1
"713" 1928 2 33 0.6
"714" 1928 3 38.8 3.8
"715" 1928 4 48.4 9.1
"716" 1928 5 59.4 15.2
"717" 1928 6 67.4 19.7
"718" 1928 7 75.9 24.4
"719" 1928 8 75.4 24.1
"720" 1928 9 64.7 18.2
"721" 1929 1 31.9 -0.1
"722" 1929 10 54.6 12.6
"723" 1929 11 46.2 7.9
"724" 1929 12 35.8 2.1
"725" 1929 2 32.9 0.5
"726" 1929 3 45.1 7.3
"727" 1929 4 51 10.6
"728" 1929 5 61.7 16.5
"729" 1929 6 71.5 21.9
"730" 1929 7 75.9 24.4
"731" 1929 8 73.1 22.8
"732" 1929 9 69.4 20.8
"733" 1930 1 33.3 0.7
"734" 1930 10 55.6 13.1
"735" 1930 11 45.5 7.5
"736" 1930 12 34.6 1.4
"737" 1930 2 37 2.8
"738" 1930 3 40.3 4.6
"739" 1930 4 48.4 9.1
"740" 1930 5 63.7 17.6
"741" 1930 6 73.5 23.1
"742" 1930 7 76.4 24.7
"743" 1930 8 73.6 23.1
"744" 1930 9 72 22.2
"745" 1931 1 32.8 0.4
"746" 1931 10 61.3 16.3
"747" 1931 11 51.9 11.1
"748" 1931 12 41 5
"749" 1931 2 33.9 1.1
"750" 1931 3 40.3 4.6
"751" 1931 4 51.1 10.6
"752" 1931 5 61.5 16.4
"753" 1931 6 70.7 21.5
"754" 1931 7 77.5 25.3
"755" 1931 8 75.2 24
"756" 1931 9 72.3 22.4
"757" 1932 1 43.2 6.2
"758" 1932 10 58.5 14.7
"759" 1932 11 43.9 6.6
"760" 1932 12 39.1 3.9
"761" 1932 2 36.1 2.3
"762" 1932 3 37.3 2.9
"763" 1932 4 49 9.4
"764" 1932 5 62 16.7
"765" 1932 6 70.5 21.4
"766" 1932 7 76.1 24.5
"767" 1932 8 76.7 24.8
"768" 1932 9 69.5 20.8
"769" 1933 1 40.3 4.6
"770" 1933 10 56.1 13.4
"771" 1933 11 41.8 5.4
"772" 1933 12 32.7 0.4
"773" 1933 2 34.1 1.2
"774" 1933 3 38.4 3.6
"775" 1933 4 50.4 10.2
"776" 1933 5 64.4 18
"777" 1933 6 72.4 22.4
"778" 1933 7 75.8 24.3
"779" 1933 8 74.9 23.8
"780" 1933 9 69.6 20.9
"781" 1934 1 34.7 1.5
"782" 1934 10 54.5 12.5
"783" 1934 11 48.9 9.4
"784" 1934 12 33.4 0.8
"785" 1934 2 19.9 -6.7
"786" 1934 3 37.3 2.9
"787" 1934 4 50.3 10.2
"788" 1934 5 63.7 17.6
"789" 1934 6 73.8 23.2
"790" 1934 7 77.7 25.4
"791" 1934 8 72 22.2
"792" 1934 9 69.2 20.7
"793" 1935 1 28.9 -1.7
"794" 1935 10 57.5 14.2
"795" 1935 11 48.6 9.2
"796" 1935 12 30 -1.1
"797" 1935 2 31.2 -0.4
"798" 1935 3 43.4 6.3
"799" 1935 4 49.8 9.9
"800" 1935 5 59.9 15.5
"801" 1935 6 70.1 21.2
"802" 1935 7 77.2 25.1
"803" 1935 8 74.7 23.7
"804" 1935 9 65.3 18.5
"805" 1936 1 29.3 -1.5
"806" 1936 10 57.6 14.2
"807" 1936 11 42.7 5.9
"808" 1936 12 38.6 3.7
"809" 1936 2 25.7 -3.5
"810" 1936 3 45.2 7.3
"811" 1936 4 47.9 8.8
"812" 1936 5 64.4 18
"813" 1936 6 69.8 21
"814" 1936 7 76.2 24.6
"815" 1936 8 75.4 24.1
"816" 1936 9 68.2 20.1
"817" 1937 1 40.2 4.6
"818" 1937 10 55.4 13
"819" 1937 11 46.4 8
"820" 1937 12 35.4 1.9
"821" 1937 2 34.8 1.6
"822" 1937 3 36.5 2.5
"823" 1937 4 49.6 9.8
"824" 1937 5 64.2 17.9
"825" 1937 6 71.8 22.1
"826" 1937 7 76.6 24.8
"827" 1937 8 76.6 24.8
